songid,song_name,song_description,song_youtube_link
_hey_there_delilah,Hey There Delilah ,Hey There Delilah Lyrics,https://www.youtube.com/watch?v=hQlPzrX8u0A
_closing_time,Closing Time ,Leonard Cohen - Closing Time,https://www.youtube.com/watch?v=7-0lV5qs1Qw
_burn,Burn ,Ellie Goulding - Burn (Lyrics On Screen),https://www.youtube.com/watch?v=gCT3Li5dfZE
_as_long_as_you_love_me,As Long As You Love Me ,As Long As You Love Me (Audio) ft. Big Sean,https://www.youtube.com/watch?v=v-FVihIlU2g
_all_star,All Star ,All Star - Smash Mouth [Lyrics],https://www.youtube.com/watch?v=5ZYgIrqELFw
_toxic,Toxic ,Melanie Martinez - Toxic(Full Song),https://www.youtube.com/watch?v=Z6dcgD6-ZXM
_want_u_back,Want U Back ,Cher Lloyd - Want U Back ft. Astro,https://www.youtube.com/watch?v=inwAc-ZBpx0
_happy,Happy ,Pharrell Williams - Happy (Official Music Video),https://www.youtube.com/watch?v=ZbZSe6N_BXs
_all_the_small_things,All The Small Things ,All The Small Things,https://www.youtube.com/watch?v=5_PBNZXlzp0
_super_bass,Super Bass ,Super Bass (JBL) Bass song ,https://www.youtube.com/watch?v=NfR7LwZUksM
_hallelujah,Hallelujah ,[OFFICIAL VIDEO] Hallelujah - Pentatonix,https://www.youtube.com/watch?v=LRP8d7hhpoQ
_valerie,Valerie ,Steve Winwood - Valerie (Official Video),https://www.youtube.com/watch?v=cbKNICg-REA
_hush_little_baby,Hush Little Baby ,Hush Little Baby - Lullaby song by EFlashApps,https://www.youtube.com/watch?v=NOCx4D7KoGo
_more_than_this,More Than This ,Roxy Music - More Than This (High Audio Quality),https://www.youtube.com/watch?v=p9PAuWV-Vn0
_let_it_go,Let It Go ,"Disney's Frozen ""Let It Go"" Sequence Performed by ...",https://www.youtube.com/watch?v=moSFlvxnbgk
_wanted,Wanted ,Dara Maclean - Wanted (Official Music Video),https://www.youtube.com/watch?v=8C-povr7b6k
_bubbly,Bubbly ,Bubbly - Colbie Caillat Lyrics,https://www.youtube.com/watch?v=aGneKdKtsSQ
_pompeii,Pompeii ,Bastille - Pompeii (LYRICS),https://www.youtube.com/watch?v=F-qHo4oFX6I
_just_the_way_you_are_bm,Just The Way You Are Bm ,Just The Way You Are-Bruno Mars [Lyrics],https://www.youtube.com/watch?v=EwIqco7bmTM
_young_girls,Young Girls ,Young Girl - Gary Puckett And The Union Gap,https://www.youtube.com/watch?v=hn0ZJHVH17I
